reserva_id,huesped,pais_residencia_declarado,documento_tipo,documento_en_legajo,canal,check_in,check_out,noches,tarifa_noche_ars,total_alojamiento_ars,desayuno_incluido,consumos_extra_ars,medio_pago,comprobante_clase,estado,motivo,neto_ars,iva_en_juego_ars
R-1029,H. Weber,BR,Pasaporte,no,Booking.com,2026-06-30,2026-07-05,5,100600,503000,si,4500,tarjeta,A,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",415702,0
R-1030,K. Novak,UY,Pasaporte,no,Booking.com,2026-07-03,2026-07-06,3,117200,351600,si,0,tarjeta,B,fuga,Tarjeta AMEX emitida en Uruguay (BIN 533012),290579,61021
R-1031,R. Muller,CL,Pasaporte,no,Directo web,2026-08-24,2026-08-25,1,89500,89500,si,0,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",73967,0
R-1032,J. Pereira,AR,DNI,si,Directo web,2026-07-05,2026-07-07,2,107200,214400,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,177190,0
R-1033,M. Silva,AR,DNI,si,Booking.com,2026-08-01,2026-08-06,5,113400,567000,si,15200,tarjeta,A,no_elegible,Huésped residente en Argentina,468595,0
R-1034,F. Almeida,FR,Pasaporte,si,Walk-in,2026-08-05,2026-08-10,5,87400,437000,si,0,tarjeta,T,correcto,Tarjeta VISA emitida en Francia (BIN 513412),361157,75843
R-1035,C. Rossi,UY,Pasaporte,no,Telefono/WhatsApp,2026-07-26,2026-07-28,2,113000,226000,si,0,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",186777,0
R-1036,I. Petrov,CL,Pasaporte,no,Despegar,2026-06-18,2026-06-19,1,103100,103100,si,0,tarjeta,T,riesgo_legajo,Tarjeta VISA emitida en Chile (BIN 456712),85207,17893
R-1037,T. Nakamura,US,Pasaporte,no,Directo web,2026-09-07,2026-09-08,1,104000,104000,si,0,tarjeta,B,fuga,Tarjeta MASTERCARD emitida en Estados Unidos (BIN 414720),85950,18050
R-1038,B. Lindqvist,BR,Pasaporte,si,Booking.com,2026-08-11,2026-08-12,1,100400,100400,si,9800,transferencia_exterior,T,correcto,Transferencia desde banco del exterior,82975,17425
R-1039,K. Novak,AR,DNI,si,Directo web,2026-08-27,2026-09-01,5,95100,475500,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,392975,0
R-1040,I. Petrov,UY,Pasaporte,no,Walk-in,2026-06-14,2026-06-18,4,116100,464400,si,0,tarjeta,T,riesgo_legajo,Tarjeta AMEX emitida en Uruguay (BIN 533012),383802,80598
R-1041,M. Silva,AR,DNI,si,Directo web,2026-07-27,2026-08-01,5,92300,461500,si,4500,tarjeta,B,no_elegible,Huésped residente en Argentina,381405,0
R-1042,P. Dubois,AR,DNI,si,Despegar,2026-07-07,2026-07-11,4,105700,422800,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,349421,0
R-1043,J. Pereira,BR,Pasaporte,si,Walk-in,2026-09-01,2026-09-03,2,88800,177600,si,9800,tarjeta,T,correcto,Tarjeta VISA emitida en Brasil (BIN 438935),146777,30823
R-1044,T. Nakamura,AR,DNI,si,Expedia,2026-06-15,2026-06-19,4,91100,364400,si,4500,tarjeta,B,no_elegible,Huésped residente en Argentina,301157,0
R-1045,E. Blanco,ES,Pasaporte,si,Expedia,2026-06-15,2026-06-16,1,104200,104200,si,15200,tarjeta,T,correcto,Tarjeta VISA emitida en España (BIN 540012),86116,18084
R-1046,A. Costa,AR,DNI,si,Despegar,2026-07-28,2026-08-02,5,92400,462000,si,22000,tarjeta,B,no_elegible,Huésped residente en Argentina,381818,0
R-1047,A. Costa,DE,Pasaporte,no,Directo web,2026-07-28,2026-07-31,3,106500,319500,si,15200,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",264050,0
R-1048,B. Lindqvist,AR,DNI,si,Booking.com,2026-07-20,2026-07-22,2,106700,213400,si,0,efectivo_ars,B,no_elegible,Huésped residente en Argentina,176364,0
R-1049,F. Almeida,AR,DNI,si,Booking.com,2026-09-01,2026-09-02,1,101200,101200,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,83636,0
R-1050,B. Lindqvist,AR,DNI,si,Booking.com,2026-06-12,2026-06-13,1,110300,110300,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,91157,0
R-1051,L. Fernandez,BR,Pasaporte,no,Despegar,2026-07-10,2026-07-13,3,116900,350700,si,0,tarjeta,T,riesgo_legajo,Tarjeta MASTERCARD emitida en Brasil (BIN 552031),289835,60865
R-1052,O. Ahmed,DE,Pasaporte,no,Despegar,2026-08-31,2026-09-03,3,94400,283200,si,15200,tarjeta,B,fuga,Tarjeta MASTERCARD emitida en Alemania (BIN 545612),234050,49150
R-1053,V. Romero,AR,DNI,si,Booking.com,2026-08-12,2026-08-13,1,91700,91700,si,0,tarjeta,A,no_elegible,Huésped residente en Argentina,75785,0
R-1054,R. Muller,AR,DNI,si,Booking.com,2026-06-12,2026-06-15,3,97200,291600,si,22000,tarjeta,B,no_elegible,Huésped residente en Argentina,240992,0
R-1055,H. Weber,AR,DNI,si,Walk-in,2026-07-07,2026-07-10,3,98400,295200,si,9800,tarjeta,B,no_elegible,Huésped residente en Argentina,243967,0
R-1056,H. Weber,AR,DNI,si,Booking.com,2026-09-03,2026-09-07,4,103500,414000,si,0,transferencia_local,B,no_elegible,Huésped residente en Argentina,342149,0
R-1057,A. Costa,AR,DNI,si,Walk-in,2026-08-23,2026-08-25,2,105000,210000,si,22000,efectivo_ars,B,no_elegible,Huésped residente en Argentina,173554,0
R-1058,N. Garcia,DE,Pasaporte,si,Booking.com,2026-07-13,2026-07-17,4,87700,350800,si,0,tarjeta,B,fuga,Tarjeta MASTERCARD emitida en Alemania (BIN 545612),289917,60883
R-1059,R. Muller,AR,DNI,si,Booking.com,2026-08-24,2026-08-25,1,87300,87300,si,0,efectivo_ars,B,no_elegible,Huésped residente en Argentina,72149,0
R-1060,R. Muller,AR,DNI,si,Booking.com,2026-09-03,2026-09-06,3,105000,315000,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,260331,0
R-1061,H. Weber,DE,Pasaporte,no,Booking.com,2026-08-21,2026-08-26,5,108600,543000,si,9800,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",448760,0
R-1062,K. Novak,AR,DNI,si,Directo web,2026-06-15,2026-06-16,1,102700,102700,si,9800,tarjeta,B,no_elegible,Huésped residente en Argentina,84876,0
R-1063,L. Fernandez,AR,DNI,si,Telefono/WhatsApp,2026-07-16,2026-07-19,3,87100,261300,si,0,tarjeta,A,no_elegible,Huésped residente en Argentina,215950,0
R-1064,M. Silva,AR,DNI,si,Booking.com,2026-07-12,2026-07-15,3,113400,340200,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,281157,0
R-1065,D. Oliveira,CL,Pasaporte,no,Walk-in,2026-07-08,2026-07-12,4,103100,412400,si,0,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",340826,0
R-1066,L. Fernandez,ES,Pasaporte,si,Despegar,2026-08-13,2026-08-16,3,87700,263100,si,9800,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",217438,0
R-1067,G. Ferrari,FR,Pasaporte,si,Booking.com,2026-06-28,2026-07-01,3,95800,287400,si,9800,tarjeta,B,fuga,Tarjeta AMEX emitida en Francia (BIN 497010),237521,49879
R-1068,S. Johnson,AR,DNI,si,Directo web,2026-08-07,2026-08-12,5,116600,583000,si,0,efectivo_ars,B,no_elegible,Huésped residente en Argentina,481818,0
R-1069,L. Fernandez,AR,DNI,si,Directo web,2026-06-11,2026-06-14,3,91300,273900,si,9800,tarjeta,B,no_elegible,Huésped residente en Argentina,226364,0
R-1070,F. Almeida,UY,Pasaporte,si,Booking.com,2026-08-30,2026-09-01,2,100000,200000,si,0,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",165289,0
R-1071,L. Fernandez,CO,Pasaporte,si,Booking.com,2026-07-02,2026-07-06,4,84600,338400,si,22000,tarjeta,T,correcto,Tarjeta AMEX emitida en Colombia (BIN 521212),279669,58731
R-1072,C. Rossi,AR,DNI,si,Booking.com,2026-07-02,2026-07-05,3,101700,305100,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,252149,0
R-1073,A. Costa,DE,Pasaporte,si,Booking.com,2026-07-18,2026-07-22,4,101000,404000,si,9800,tarjeta,B,fuga,Tarjeta MASTERCARD emitida en Alemania (BIN 545612),333884,70116
R-1075,I. Petrov,CL,Pasaporte,si,Directo web,2026-07-04,2026-07-05,1,114800,114800,si,4500,efectivo_usd,A,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo usd)",94876,0
R-1076,N. Garcia,AR,DNI,si,Expedia,2026-07-02,2026-07-06,4,101400,405600,si,9800,efectivo_ars,B,no_elegible,Huésped residente en Argentina,335207,0
R-1077,V. Romero,AR,DNI,si,Telefono/WhatsApp,2026-06-29,2026-07-02,3,105100,315300,si,0,transferencia_local,A,no_elegible,Huésped residente en Argentina,260579,0
R-1078,P. Dubois,CL,Pasaporte,no,Directo web,2026-08-23,2026-08-25,2,105200,210400,si,0,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",173884,0
R-1079,K. Novak,AR,DNI,si,Booking.com,2026-06-19,2026-06-24,5,109200,546000,si,4500,transferencia_local,B,no_elegible,Huésped residente en Argentina,451240,0
R-1080,V. Romero,AR,DNI,si,Despegar,2026-08-18,2026-08-22,4,106100,424400,si,0,tarjeta,A,no_elegible,Huésped residente en Argentina,350744,0
R-1081,E. Blanco,ES,Pasaporte,no,Despegar,2026-08-15,2026-08-19,4,112200,448800,si,9800,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",370909,0
R-1082,T. Nakamura,AR,DNI,si,Booking.com,2026-08-30,2026-09-04,5,117200,586000,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,484298,0
R-1083,O. Ahmed,AR,DNI,si,Despegar,2026-08-26,2026-08-29,3,105000,315000,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,260331,0
R-1084,D. Oliveira,BR,Pasaporte,no,Walk-in,2026-07-02,2026-07-05,3,107600,322800,si,0,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",266777,0
R-1085,D. Oliveira,AR,DNI,si,Directo web,2026-07-05,2026-07-06,1,115100,115100,si,4500,tarjeta,A,no_elegible,Huésped residente en Argentina,95124,0
R-1086,S. Johnson,AR,DNI,si,Booking.com,2026-07-10,2026-07-11,1,101500,101500,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,83884,0
R-1087,E. Blanco,UY,Pasaporte,si,Booking.com,2026-07-04,2026-07-05,1,107500,107500,si,22000,tarjeta,T,correcto,Tarjeta VISA emitida en Uruguay (BIN 471589),88843,18657
R-1088,O. Ahmed,AR,DNI,si,Directo web,2026-07-31,2026-08-02,2,117300,234600,si,4500,efectivo_ars,B,no_elegible,Huésped residente en Argentina,193884,0
R-1089,C. Rossi,AR,DNI,si,Directo web,2026-09-01,2026-09-04,3,93100,279300,si,15200,efectivo_ars,B,no_elegible,Huésped residente en Argentina,230826,0
R-1090,F. Almeida,AR,DNI,si,Booking.com,2026-08-15,2026-08-19,4,94100,376400,si,9800,transferencia_local,A,no_elegible,Huésped residente en Argentina,311074,0
R-1091,G. Ferrari,BR,Pasaporte,si,Booking.com,2026-08-01,2026-08-05,4,111100,444400,si,4500,tarjeta,T,correcto,Tarjeta MASTERCARD emitida en Brasil (BIN 552031),367273,77127
R-1092,J. Pereira,AR,DNI,si,Telefono/WhatsApp,2026-06-23,2026-06-25,2,95400,190800,si,4500,tarjeta,A,no_elegible,Huésped residente en Argentina,157686,0
R-1093,H. Weber,DE,Pasaporte,no,Telefono/WhatsApp,2026-06-17,2026-06-21,4,89600,358400,si,4500,tarjeta,T,riesgo_legajo,Tarjeta VISA emitida en Alemania (BIN 545612),296198,62202
R-1094,A. Costa,AR,DNI,si,Walk-in,2026-07-21,2026-07-23,2,100500,201000,si,0,efectivo_ars,B,no_elegible,Huésped residente en Argentina,166116,0
R-1095,A. Costa,BR,Pasaporte,no,Telefono/WhatsApp,2026-06-19,2026-06-22,3,112600,337800,si,22000,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",279174,0
R-1096,G. Ferrari,AR,DNI,si,Booking.com,2026-08-19,2026-08-23,4,93600,374400,si,22000,tarjeta,B,no_elegible,Huésped residente en Argentina,309421,0
R-1097,C. Rossi,CO,Pasaporte,si,Despegar,2026-08-29,2026-08-31,2,112800,225600,si,0,tarjeta,T,correcto,Tarjeta AMEX emitida en Colombia (BIN 455708),186446,39154
R-1098,J. Pereira,DE,Pasaporte,no,Booking.com,2026-07-31,2026-08-03,3,116000,348000,si,15200,tarjeta,B,fuga,Tarjeta MASTERCARD emitida en Alemania (BIN 492181),287603,60397
R-1099,M. Silva,AR,DNI,si,Directo web,2026-07-30,2026-08-01,2,101900,203800,si,9800,transferencia_local,B,no_elegible,Huésped residente en Argentina,168430,0
R-1100,A. Costa,BR,Pasaporte,no,Despegar,2026-06-27,2026-06-28,1,102700,102700,si,9800,efectivo_usd,A,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo usd)",84876,0
R-1101,T. Nakamura,ES,Pasaporte,si,Booking.com,2026-07-15,2026-07-19,4,91400,365600,si,9800,tarjeta,T,correcto,Tarjeta MASTERCARD emitida en España (BIN 454181),302149,63451
R-1102,A. Costa,AR,DNI,si,Expedia,2026-08-15,2026-08-19,4,112600,450400,si,22000,tarjeta,B,no_elegible,Huésped residente en Argentina,372231,0
R-1103,F. Almeida,AR,DNI,si,Booking.com,2026-07-29,2026-07-31,2,99200,198400,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,163967,0
R-1104,A. Costa,UY,Pasaporte,si,Telefono/WhatsApp,2026-08-11,2026-08-14,3,97900,293700,si,0,tarjeta,T,correcto,Tarjeta MASTERCARD emitida en Uruguay (BIN 471589),242727,50973
R-1105,E. Blanco,ES,Pasaporte,si,Expedia,2026-06-16,2026-06-17,1,106400,106400,si,0,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",87934,0
R-1106,C. Rossi,AR,DNI,si,Directo web,2026-06-27,2026-06-30,3,100000,300000,si,22000,tarjeta,B,no_elegible,Huésped residente en Argentina,247934,0
R-1107,B. Lindqvist,AR,DNI,si,Booking.com,2026-08-20,2026-08-21,1,99300,99300,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,82066,0
R-1108,G. Ferrari,CL,Pasaporte,si,Booking.com,2026-08-20,2026-08-21,1,103400,103400,si,4500,tarjeta,T,correcto,Tarjeta AMEX emitida en Chile (BIN 530312),85455,17945
R-1109,S. Johnson,US,Pasaporte,si,Despegar,2026-09-01,2026-09-03,2,92000,184000,si,4500,tarjeta,A,fuga,Tarjeta MASTERCARD emitida en Estados Unidos (BIN 379141),152066,31934
R-1110,V. Romero,AR,DNI,si,Despegar,2026-06-13,2026-06-15,2,97700,195400,si,15200,efectivo_ars,B,no_elegible,Huésped residente en Argentina,161488,0
R-1111,P. Dubois,AR,DNI,si,Telefono/WhatsApp,2026-08-31,2026-09-02,2,92400,184800,si,22000,efectivo_ars,B,no_elegible,Huésped residente en Argentina,152727,0
R-1112,A. Costa,CL,Pasaporte,si,Booking.com,2026-09-02,2026-09-04,2,95700,191400,si,0,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",158182,0
R-1113,F. Almeida,MX,Pasaporte,no,Expedia,2026-06-30,2026-07-04,4,97200,388800,si,0,transferencia_exterior,A,fuga,Transferencia desde banco del exterior,321322,67478
R-1114,I. Petrov,US,Pasaporte,si,Expedia,2026-07-06,2026-07-08,2,96500,193000,si,22000,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",159504,0
R-1115,T. Nakamura,AR,DNI,si,Booking.com,2026-07-22,2026-07-25,3,83600,250800,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,207273,0
R-1116,A. Costa,ES,Pasaporte,si,Directo web,2026-07-07,2026-07-09,2,98800,197600,si,22000,tarjeta,T,correcto,Tarjeta MASTERCARD emitida en España (BIN 454181),163306,34294
R-1117,O. Ahmed,BR,Pasaporte,no,Telefono/WhatsApp,2026-08-28,2026-08-29,1,107700,107700,si,15200,tarjeta,B,fuga,Tarjeta VISA emitida en Brasil (BIN 552031),89008,18692
R-1118,H. Weber,UY,Pasaporte,si,Telefono/WhatsApp,2026-07-06,2026-07-08,2,104900,209800,si,0,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",173388,0
R-1119,J. Pereira,CL,Pasaporte,no,Booking.com,2026-07-31,2026-08-01,1,106400,106400,si,4500,efectivo_ars,B,no_elegible,"No residente, pero pagó por un medio no habilitante (efectivo ars)",87934,0
R-1120,A. Costa,AR,DNI,si,Booking.com,2026-07-09,2026-07-16,7,99300,695100,si,0,transferencia_local,B,no_elegible,Huésped residente en Argentina,574463,0
R-1121,H. Weber,US,Pasaporte,no,Directo web,2026-09-01,2026-09-04,3,99200,297600,si,0,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",245950,0
R-1122,K. Novak,BR,Pasaporte,no,Booking.com,2026-06-30,2026-07-02,2,101400,202800,si,0,transferencia_exterior,B,fuga,Transferencia desde banco del exterior,167603,35197
R-1123,B. Lindqvist,AR,DNI,si,Directo web,2026-08-06,2026-08-08,2,87100,174200,si,22000,tarjeta,B,no_elegible,Huésped residente en Argentina,143967,0
R-1124,K. Novak,US,Pasaporte,si,Expedia,2026-06-26,2026-06-28,2,94000,188000,si,15200,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",155372,0
R-1125,L. Fernandez,CL,Pasaporte,si,Despegar,2026-07-08,2026-07-10,2,91600,183200,si,4500,tarjeta,B,fuga,Tarjeta VISA emitida en Chile (BIN 456712),151405,31795
R-1126,P. Dubois,US,Pasaporte,si,Booking.com,2026-09-02,2026-09-07,5,98800,494000,si,0,tarjeta,T,correcto,Tarjeta MASTERCARD emitida en Estados Unidos (BIN 379141),408264,85736
R-1127,R. Muller,AR,DNI,si,Expedia,2026-07-27,2026-07-30,3,103500,310500,si,0,transferencia_local,B,no_elegible,Huésped residente en Argentina,256612,0
R-1128,R. Muller,UY,Pasaporte,no,Telefono/WhatsApp,2026-07-07,2026-07-08,1,89300,89300,si,9800,tarjeta,A,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",73802,0
R-1129,B. Lindqvist,AR,DNI,si,Booking.com,2026-08-15,2026-08-18,3,116600,349800,si,15200,tarjeta,B,no_elegible,Huésped residente en Argentina,289091,0
R-1130,L. Fernandez,AR,DNI,si,Despegar,2026-08-05,2026-08-06,1,95200,95200,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,78678,0
R-1131,G. Ferrari,AR,DNI,si,Directo web,2026-07-12,2026-07-13,1,97700,97700,si,4500,efectivo_ars,B,no_elegible,Huésped residente en Argentina,80744,0
R-1132,T. Nakamura,AR,DNI,si,Booking.com,2026-06-14,2026-06-18,4,113500,454000,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,375207,0
R-1133,M. Silva,MX,Pasaporte,si,Expedia,2026-08-14,2026-08-17,3,105200,315600,si,9800,tarjeta,T,correcto,Tarjeta VISA emitida en México (BIN 491667),260826,54774
R-1134,L. Fernandez,AR,DNI,si,Booking.com,2026-09-03,2026-09-07,4,90800,363200,si,15200,efectivo_ars,B,no_elegible,Huésped residente en Argentina,300165,0
R-1135,H. Weber,US,Pasaporte,si,Booking.com,2026-07-12,2026-07-16,4,102700,410800,si,4500,tarjeta,T,correcto,Tarjeta VISA emitida en Estados Unidos (BIN 542418),339504,71296
R-1136,N. Garcia,AR,DNI,si,Booking.com,2026-08-26,2026-08-29,3,106200,318600,si,4500,tarjeta,B,no_elegible,Huésped residente en Argentina,263306,0
R-1137,V. Romero,AR,DNI,si,Booking.com,2026-06-19,2026-06-21,2,94900,189800,si,15200,efectivo_ars,B,no_elegible,Huésped residente en Argentina,156860,0
R-1138,B. Lindqvist,AR,DNI,si,Directo web,2026-08-25,2026-08-30,5,94300,471500,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,389669,0
R-1139,D. Oliveira,UY,Pasaporte,si,Booking.com,2026-08-25,2026-08-29,4,89600,358400,si,4500,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",296198,0
R-1140,P. Dubois,AR,DNI,si,Booking.com,2026-07-22,2026-07-24,2,85300,170600,si,0,tarjeta,B,no_elegible,Huésped residente en Argentina,140992,0
R-1141,R. Muller,BR,Pasaporte,si,Directo web,2026-06-24,2026-06-25,1,98400,98400,si,0,tarjeta,T,correcto,Tarjeta VISA emitida en Brasil (BIN 438935),81322,17078
R-1142,A. Costa,AR,DNI,si,Telefono/WhatsApp,2026-08-16,2026-08-20,4,104700,418800,si,0,efectivo_ars,B,no_elegible,Huésped residente en Argentina,346116,0
R-1143,C. Rossi,AR,DNI,si,Despegar,2026-08-24,2026-08-28,4,98600,394400,si,15200,transferencia_local,B,no_elegible,Huésped residente en Argentina,325950,0
R-1144,O. Ahmed,US,Pasaporte,no,Expedia,2026-09-02,2026-09-06,4,103500,414000,si,9800,tarjeta,B,no_elegible,"No residente, pero pagó con tarjeta emitida en Argentina (BIN local): el medio de pago no habilita la exención",342149,0
R-1145,G. Ferrari,AR,DNI,si,Despegar,2026-06-29,2026-06-30,1,91900,91900,si,22000,tarjeta,B,no_elegible,Huésped residente en Argentina,75950,0
R-1146,K. Novak,AR,DNI,si,Walk-in,2026-06-22,2026-06-27,5,99300,496500,si,9800,transferencia_local,B,no_elegible,Huésped residente en Argentina,410331,0
