reserva_id,huesped,pais_residencia_declarado,documento_tipo,documento_en_legajo,canal,check_in,check_out,noches,tarifa_noche_ars,total_alojamiento_ars,desayuno_incluido,consumos_extra_ars,medio_pago,comprobante_clase
R-1021,A. Costa,AR,DNI,si,Directo web,2026-08-28,2026-09-01,4,109400,437600,si,15200,tarjeta,B
R-1022,A. Costa,AR,DNI,si,Telefono/WhatsApp,2026-08-07,2026-08-09,2,104000,208000,si,0,tarjeta,B
R-1023,V. Romero,AR,DNI,si,Booking.com,2026-09-03,2026-09-05,2,103800,207600,si,22000,efectivo_ars,B
R-1024,T. Nakamura,AR,DNI,si,Despegar,2026-07-11,2026-07-13,2,115700,231400,si,4500,tarjeta,B
R-1025,D. Oliveira,MX,Pasaporte,no,Directo web,2026-08-27,2026-09-01,5,102300,511500,si,0,tarjeta,B
R-1026,T. Nakamura,AR,DNI,si,Booking.com,2026-06-11,2026-06-12,1,101300,101300,si,0,efectivo_ars,B
R-1027,T. Nakamura,AR,DNI,si,Walk-in,2026-08-16,2026-08-18,2,117400,234800,si,15200,efectivo_ars,A
R-1028,M. Silva,AR,DNI,si,Directo web,2026-08-05,2026-08-06,1,100400,100400,si,0,tarjeta,B
R-1029,H. Weber,BR,Pasaporte,no,Booking.com,2026-06-30,2026-07-05,5,100600,503000,si,4500,tarjeta,A
R-1030,K. Novak,UY,Pasaporte,no,Booking.com,2026-07-03,2026-07-06,3,117200,351600,si,0,tarjeta,B
R-1031,R. Muller,CL,Pasaporte,no,Directo web,2026-08-24,2026-08-25,1,89500,89500,si,0,efectivo_ars,B
R-1032,J. Pereira,AR,DNI,si,Directo web,2026-07-05,2026-07-07,2,107200,214400,si,0,tarjeta,B
R-1033,M. Silva,AR,DNI,si,Booking.com,2026-08-01,2026-08-06,5,113400,567000,si,15200,tarjeta,A
R-1034,F. Almeida,FR,Pasaporte,si,Walk-in,2026-08-05,2026-08-10,5,87400,437000,si,0,tarjeta,T
R-1035,C. Rossi,UY,Pasaporte,no,Telefono/WhatsApp,2026-07-26,2026-07-28,2,113000,226000,si,0,tarjeta,B
R-1036,I. Petrov,CL,Pasaporte,no,Despegar,2026-06-18,2026-06-19,1,103100,103100,si,0,tarjeta,T
R-1037,T. Nakamura,US,Pasaporte,no,Directo web,2026-09-07,2026-09-08,1,104000,104000,si,0,tarjeta,B
R-1038,B. Lindqvist,BR,Pasaporte,si,Booking.com,2026-08-11,2026-08-12,1,100400,100400,si,9800,transferencia_exterior,T
R-1039,K. Novak,AR,DNI,si,Directo web,2026-08-27,2026-09-01,5,95100,475500,si,0,tarjeta,B
R-1040,I. Petrov,UY,Pasaporte,no,Walk-in,2026-06-14,2026-06-18,4,116100,464400,si,0,tarjeta,T
R-1041,M. Silva,AR,DNI,si,Directo web,2026-07-27,2026-08-01,5,92300,461500,si,4500,tarjeta,B
R-1042,P. Dubois,AR,DNI,si,Despegar,2026-07-07,2026-07-11,4,105700,422800,si,15200,tarjeta,B
R-1043,J. Pereira,BR,Pasaporte,si,Walk-in,2026-09-01,2026-09-03,2,88800,177600,si,9800,tarjeta,T
R-1044,T. Nakamura,AR,DNI,si,Expedia,2026-06-15,2026-06-19,4,91100,364400,si,4500,tarjeta,B
R-1045,E. Blanco,ES,Pasaporte,si,Expedia,2026-06-15,2026-06-16,1,104200,104200,si,15200,tarjeta,T
R-1046,A. Costa,AR,DNI,si,Despegar,2026-07-28,2026-08-02,5,92400,462000,si,22000,tarjeta,B
R-1047,A. Costa,DE,Pasaporte,no,Directo web,2026-07-28,2026-07-31,3,106500,319500,si,15200,efectivo_ars,B
R-1048,B. Lindqvist,AR,DNI,si,Booking.com,2026-07-20,2026-07-22,2,106700,213400,si,0,efectivo_ars,B
R-1049,F. Almeida,AR,DNI,si,Booking.com,2026-09-01,2026-09-02,1,101200,101200,si,15200,tarjeta,B
R-1050,B. Lindqvist,AR,DNI,si,Booking.com,2026-06-12,2026-06-13,1,110300,110300,si,15200,tarjeta,B
R-1051,L. Fernandez,BR,Pasaporte,no,Despegar,2026-07-10,2026-07-13,3,116900,350700,si,0,tarjeta,T
R-1052,O. Ahmed,DE,Pasaporte,no,Despegar,2026-08-31,2026-09-03,3,94400,283200,si,15200,tarjeta,B
R-1053,V. Romero,AR,DNI,si,Booking.com,2026-08-12,2026-08-13,1,91700,91700,si,0,tarjeta,A
R-1054,R. Muller,AR,DNI,si,Booking.com,2026-06-12,2026-06-15,3,97200,291600,si,22000,tarjeta,B
R-1055,H. Weber,AR,DNI,si,Walk-in,2026-07-07,2026-07-10,3,98400,295200,si,9800,tarjeta,B
R-1056,H. Weber,AR,DNI,si,Booking.com,2026-09-03,2026-09-07,4,103500,414000,si,0,transferencia_local,B
R-1057,A. Costa,AR,DNI,si,Walk-in,2026-08-23,2026-08-25,2,105000,210000,si,22000,efectivo_ars,B
R-1058,N. Garcia,DE,Pasaporte,si,Booking.com,2026-07-13,2026-07-17,4,87700,350800,si,0,tarjeta,B
R-1059,R. Muller,AR,DNI,si,Booking.com,2026-08-24,2026-08-25,1,87300,87300,si,0,efectivo_ars,B
R-1060,R. Muller,AR,DNI,si,Booking.com,2026-09-03,2026-09-06,3,105000,315000,si,15200,tarjeta,B
R-1061,H. Weber,DE,Pasaporte,no,Booking.com,2026-08-21,2026-08-26,5,108600,543000,si,9800,tarjeta,B
R-1062,K. Novak,AR,DNI,si,Directo web,2026-06-15,2026-06-16,1,102700,102700,si,9800,tarjeta,B
R-1063,L. Fernandez,AR,DNI,si,Telefono/WhatsApp,2026-07-16,2026-07-19,3,87100,261300,si,0,tarjeta,A
R-1064,M. Silva,AR,DNI,si,Booking.com,2026-07-12,2026-07-15,3,113400,340200,si,15200,tarjeta,B
R-1065,D. Oliveira,CL,Pasaporte,no,Walk-in,2026-07-08,2026-07-12,4,103100,412400,si,0,efectivo_ars,B
R-1066,L. Fernandez,ES,Pasaporte,si,Despegar,2026-08-13,2026-08-16,3,87700,263100,si,9800,tarjeta,B
R-1067,G. Ferrari,FR,Pasaporte,si,Booking.com,2026-06-28,2026-07-01,3,95800,287400,si,9800,tarjeta,B
R-1068,S. Johnson,AR,DNI,si,Directo web,2026-08-07,2026-08-12,5,116600,583000,si,0,efectivo_ars,B
R-1069,L. Fernandez,AR,DNI,si,Directo web,2026-06-11,2026-06-14,3,91300,273900,si,9800,tarjeta,B
R-1070,F. Almeida,UY,Pasaporte,si,Booking.com,2026-08-30,2026-09-01,2,100000,200000,si,0,efectivo_ars,B
R-1071,L. Fernandez,CO,Pasaporte,si,Booking.com,2026-07-02,2026-07-06,4,84600,338400,si,22000,tarjeta,T
R-1072,C. Rossi,AR,DNI,si,Booking.com,2026-07-02,2026-07-05,3,101700,305100,si,15200,tarjeta,B
R-1073,A. Costa,DE,Pasaporte,si,Booking.com,2026-07-18,2026-07-22,4,101000,404000,si,9800,tarjeta,B
R-1075,I. Petrov,CL,Pasaporte,si,Directo web,2026-07-04,2026-07-05,1,114800,114800,si,4500,efectivo_usd,A
R-1076,N. Garcia,AR,DNI,si,Expedia,2026-07-02,2026-07-06,4,101400,405600,si,9800,efectivo_ars,B
R-1077,V. Romero,AR,DNI,si,Telefono/WhatsApp,2026-06-29,2026-07-02,3,105100,315300,si,0,transferencia_local,A
R-1078,P. Dubois,CL,Pasaporte,no,Directo web,2026-08-23,2026-08-25,2,105200,210400,si,0,efectivo_ars,B
R-1079,K. Novak,AR,DNI,si,Booking.com,2026-06-19,2026-06-24,5,109200,546000,si,4500,transferencia_local,B
R-1080,V. Romero,AR,DNI,si,Despegar,2026-08-18,2026-08-22,4,106100,424400,si,0,tarjeta,A
R-1081,E. Blanco,ES,Pasaporte,no,Despegar,2026-08-15,2026-08-19,4,112200,448800,si,9800,tarjeta,B
R-1082,T. Nakamura,AR,DNI,si,Booking.com,2026-08-30,2026-09-04,5,117200,586000,si,0,tarjeta,B
R-1083,O. Ahmed,AR,DNI,si,Despegar,2026-08-26,2026-08-29,3,105000,315000,si,0,tarjeta,B
R-1084,D. Oliveira,BR,Pasaporte,no,Walk-in,2026-07-02,2026-07-05,3,107600,322800,si,0,tarjeta,B
R-1085,D. Oliveira,AR,DNI,si,Directo web,2026-07-05,2026-07-06,1,115100,115100,si,4500,tarjeta,A
R-1086,S. Johnson,AR,DNI,si,Booking.com,2026-07-10,2026-07-11,1,101500,101500,si,15200,tarjeta,B
R-1087,E. Blanco,UY,Pasaporte,si,Booking.com,2026-07-04,2026-07-05,1,107500,107500,si,22000,tarjeta,T
R-1088,O. Ahmed,AR,DNI,si,Directo web,2026-07-31,2026-08-02,2,117300,234600,si,4500,efectivo_ars,B
R-1089,C. Rossi,AR,DNI,si,Directo web,2026-09-01,2026-09-04,3,93100,279300,si,15200,efectivo_ars,B
R-1090,F. Almeida,AR,DNI,si,Booking.com,2026-08-15,2026-08-19,4,94100,376400,si,9800,transferencia_local,A
R-1091,G. Ferrari,BR,Pasaporte,si,Booking.com,2026-08-01,2026-08-05,4,111100,444400,si,4500,tarjeta,T
R-1092,J. Pereira,AR,DNI,si,Telefono/WhatsApp,2026-06-23,2026-06-25,2,95400,190800,si,4500,tarjeta,A
R-1093,H. Weber,DE,Pasaporte,no,Telefono/WhatsApp,2026-06-17,2026-06-21,4,89600,358400,si,4500,tarjeta,T
R-1094,A. Costa,AR,DNI,si,Walk-in,2026-07-21,2026-07-23,2,100500,201000,si,0,efectivo_ars,B
R-1095,A. Costa,BR,Pasaporte,no,Telefono/WhatsApp,2026-06-19,2026-06-22,3,112600,337800,si,22000,tarjeta,B
R-1096,G. Ferrari,AR,DNI,si,Booking.com,2026-08-19,2026-08-23,4,93600,374400,si,22000,tarjeta,B
R-1097,C. Rossi,CO,Pasaporte,si,Despegar,2026-08-29,2026-08-31,2,112800,225600,si,0,tarjeta,T
R-1098,J. Pereira,DE,Pasaporte,no,Booking.com,2026-07-31,2026-08-03,3,116000,348000,si,15200,tarjeta,B
R-1099,M. Silva,AR,DNI,si,Directo web,2026-07-30,2026-08-01,2,101900,203800,si,9800,transferencia_local,B
R-1100,A. Costa,BR,Pasaporte,no,Despegar,2026-06-27,2026-06-28,1,102700,102700,si,9800,efectivo_usd,A
R-1101,T. Nakamura,ES,Pasaporte,si,Booking.com,2026-07-15,2026-07-19,4,91400,365600,si,9800,tarjeta,T
R-1102,A. Costa,AR,DNI,si,Expedia,2026-08-15,2026-08-19,4,112600,450400,si,22000,tarjeta,B
R-1103,F. Almeida,AR,DNI,si,Booking.com,2026-07-29,2026-07-31,2,99200,198400,si,0,tarjeta,B
R-1104,A. Costa,UY,Pasaporte,si,Telefono/WhatsApp,2026-08-11,2026-08-14,3,97900,293700,si,0,tarjeta,T
R-1105,E. Blanco,ES,Pasaporte,si,Expedia,2026-06-16,2026-06-17,1,106400,106400,si,0,tarjeta,B
R-1106,C. Rossi,AR,DNI,si,Directo web,2026-06-27,2026-06-30,3,100000,300000,si,22000,tarjeta,B
R-1107,B. Lindqvist,AR,DNI,si,Booking.com,2026-08-20,2026-08-21,1,99300,99300,si,0,tarjeta,B
R-1108,G. Ferrari,CL,Pasaporte,si,Booking.com,2026-08-20,2026-08-21,1,103400,103400,si,4500,tarjeta,T
R-1109,S. Johnson,US,Pasaporte,si,Despegar,2026-09-01,2026-09-03,2,92000,184000,si,4500,tarjeta,A
R-1110,V. Romero,AR,DNI,si,Despegar,2026-06-13,2026-06-15,2,97700,195400,si,15200,efectivo_ars,B
R-1111,P. Dubois,AR,DNI,si,Telefono/WhatsApp,2026-08-31,2026-09-02,2,92400,184800,si,22000,efectivo_ars,B
R-1112,A. Costa,CL,Pasaporte,si,Booking.com,2026-09-02,2026-09-04,2,95700,191400,si,0,efectivo_ars,B
R-1113,F. Almeida,MX,Pasaporte,no,Expedia,2026-06-30,2026-07-04,4,97200,388800,si,0,transferencia_exterior,A
R-1114,I. Petrov,US,Pasaporte,si,Expedia,2026-07-06,2026-07-08,2,96500,193000,si,22000,efectivo_ars,B
R-1115,T. Nakamura,AR,DNI,si,Booking.com,2026-07-22,2026-07-25,3,83600,250800,si,15200,tarjeta,B
R-1116,A. Costa,ES,Pasaporte,si,Directo web,2026-07-07,2026-07-09,2,98800,197600,si,22000,tarjeta,T
R-1117,O. Ahmed,BR,Pasaporte,no,Telefono/WhatsApp,2026-08-28,2026-08-29,1,107700,107700,si,15200,tarjeta,B
R-1118,H. Weber,UY,Pasaporte,si,Telefono/WhatsApp,2026-07-06,2026-07-08,2,104900,209800,si,0,efectivo_ars,B
R-1119,J. Pereira,CL,Pasaporte,no,Booking.com,2026-07-31,2026-08-01,1,106400,106400,si,4500,efectivo_ars,B
R-1120,A. Costa,AR,DNI,si,Booking.com,2026-07-09,2026-07-16,7,99300,695100,si,0,transferencia_local,B
R-1121,H. Weber,US,Pasaporte,no,Directo web,2026-09-01,2026-09-04,3,99200,297600,si,0,tarjeta,B
R-1122,K. Novak,BR,Pasaporte,no,Booking.com,2026-06-30,2026-07-02,2,101400,202800,si,0,transferencia_exterior,B
R-1123,B. Lindqvist,AR,DNI,si,Directo web,2026-08-06,2026-08-08,2,87100,174200,si,22000,tarjeta,B
R-1124,K. Novak,US,Pasaporte,si,Expedia,2026-06-26,2026-06-28,2,94000,188000,si,15200,tarjeta,B
R-1125,L. Fernandez,CL,Pasaporte,si,Despegar,2026-07-08,2026-07-10,2,91600,183200,si,4500,tarjeta,B
R-1126,P. Dubois,US,Pasaporte,si,Booking.com,2026-09-02,2026-09-07,5,98800,494000,si,0,tarjeta,T
R-1127,R. Muller,AR,DNI,si,Expedia,2026-07-27,2026-07-30,3,103500,310500,si,0,transferencia_local,B
R-1128,R. Muller,UY,Pasaporte,no,Telefono/WhatsApp,2026-07-07,2026-07-08,1,89300,89300,si,9800,tarjeta,A
R-1129,B. Lindqvist,AR,DNI,si,Booking.com,2026-08-15,2026-08-18,3,116600,349800,si,15200,tarjeta,B
R-1130,L. Fernandez,AR,DNI,si,Despegar,2026-08-05,2026-08-06,1,95200,95200,si,0,tarjeta,B
R-1131,G. Ferrari,AR,DNI,si,Directo web,2026-07-12,2026-07-13,1,97700,97700,si,4500,efectivo_ars,B
R-1132,T. Nakamura,AR,DNI,si,Booking.com,2026-06-14,2026-06-18,4,113500,454000,si,0,tarjeta,B
R-1133,M. Silva,MX,Pasaporte,si,Expedia,2026-08-14,2026-08-17,3,105200,315600,si,9800,tarjeta,T
R-1134,L. Fernandez,AR,DNI,si,Booking.com,2026-09-03,2026-09-07,4,90800,363200,si,15200,efectivo_ars,B
R-1135,H. Weber,US,Pasaporte,si,Booking.com,2026-07-12,2026-07-16,4,102700,410800,si,4500,tarjeta,T
R-1136,N. Garcia,AR,DNI,si,Booking.com,2026-08-26,2026-08-29,3,106200,318600,si,4500,tarjeta,B
R-1137,V. Romero,AR,DNI,si,Booking.com,2026-06-19,2026-06-21,2,94900,189800,si,15200,efectivo_ars,B
R-1138,B. Lindqvist,AR,DNI,si,Directo web,2026-08-25,2026-08-30,5,94300,471500,si,0,tarjeta,B
R-1139,D. Oliveira,UY,Pasaporte,si,Booking.com,2026-08-25,2026-08-29,4,89600,358400,si,4500,tarjeta,B
R-1140,P. Dubois,AR,DNI,si,Booking.com,2026-07-22,2026-07-24,2,85300,170600,si,0,tarjeta,B
R-1141,R. Muller,BR,Pasaporte,si,Directo web,2026-06-24,2026-06-25,1,98400,98400,si,0,tarjeta,T
R-1142,A. Costa,AR,DNI,si,Telefono/WhatsApp,2026-08-16,2026-08-20,4,104700,418800,si,0,efectivo_ars,B
R-1143,C. Rossi,AR,DNI,si,Despegar,2026-08-24,2026-08-28,4,98600,394400,si,15200,transferencia_local,B
R-1144,O. Ahmed,US,Pasaporte,no,Expedia,2026-09-02,2026-09-06,4,103500,414000,si,9800,tarjeta,B
R-1145,G. Ferrari,AR,DNI,si,Despegar,2026-06-29,2026-06-30,1,91900,91900,si,22000,tarjeta,B
R-1146,K. Novak,AR,DNI,si,Walk-in,2026-06-22,2026-06-27,5,99300,496500,si,9800,transferencia_local,B
R-1147,T. Nakamura,AR,DNI,si,Booking.com,2026-08-25,2026-08-26,1,84200,84200,si,0,efectivo_ars,A
R-1148,R. Muller,CL,Pasaporte,si,Directo web,2026-08-30,2026-09-01,2,113400,226800,si,0,transferencia_exterior,T
R-1149,J. Pereira,AR,DNI,si,Booking.com,2026-08-17,2026-08-19,2,92100,184200,si,22000,tarjeta,B
R-1150,T. Nakamura,CL,Pasaporte,si,Directo web,2026-06-14,2026-06-15,1,99300,99300,si,9800,tarjeta,T
R-1151,V. Romero,AR,DNI,si,Booking.com,2026-08-02,2026-08-03,1,104700,104700,si,0,efectivo_ars,B
R-1152,E. Blanco,AR,DNI,si,Booking.com,2026-06-28,2026-07-01,3,94500,283500,si,22000,tarjeta,B
R-1153,S. Johnson,ES,Pasaporte,si,Expedia,2026-07-30,2026-08-02,3,91700,275100,si,0,efectivo_ars,B
R-1154,T. Nakamura,AR,DNI,si,Booking.com,2026-06-18,2026-06-19,1,90800,90800,si,4500,transferencia_local,B
R-1155,K. Novak,BR,Pasaporte,no,Booking.com,2026-08-28,2026-08-29,1,104700,104700,si,9800,efectivo_ars,B
R-1156,J. Pereira,UY,Pasaporte,si,Booking.com,2026-08-09,2026-08-11,2,108500,217000,si,22000,tarjeta,B
R-1157,A. Costa,CL,Pasaporte,si,Directo web,2026-07-16,2026-07-17,1,85100,85100,si,22000,tarjeta,B
R-1158,O. Ahmed,AR,DNI,si,Booking.com,2026-06-28,2026-07-02,4,116800,467200,si,0,transferencia_local,B
R-1159,R. Muller,AR,DNI,si,Booking.com,2026-07-01,2026-07-04,3,87400,262200,si,0,efectivo_ars,A
R-1160,M. Silva,ES,Pasaporte,si,Telefono/WhatsApp,2026-08-26,2026-08-29,3,106600,319800,si,15200,tarjeta,T
R-1161,K. Novak,AR,DNI,si,Directo web,2026-06-25,2026-07-02,7,103100,721700,si,15200,tarjeta,A
R-1162,R. Muller,AR,DNI,si,Booking.com,2026-08-07,2026-08-09,2,108400,216800,si,0,tarjeta,B
R-1163,V. Romero,BR,Pasaporte,si,Directo web,2026-08-24,2026-08-26,2,96900,193800,si,4500,tarjeta,B
R-1164,C. Rossi,FR,Pasaporte,si,Telefono/WhatsApp,2026-07-06,2026-07-08,2,98200,196400,si,22000,efectivo_ars,B
R-1165,P. Dubois,UY,Pasaporte,no,Booking.com,2026-08-07,2026-08-08,1,102700,102700,si,9800,tarjeta,B
R-1166,L. Fernandez,AR,DNI,si,Booking.com,2026-07-23,2026-07-26,3,98700,296100,si,9800,tarjeta,B
R-1167,I. Petrov,BR,Pasaporte,no,Booking.com,2026-06-25,2026-06-28,3,102400,307200,si,9800,tarjeta,B
R-1168,G. Ferrari,AR,DNI,si,Despegar,2026-07-13,2026-07-16,3,104600,313800,si,15200,tarjeta,B
R-1169,B. Lindqvist,FR,Pasaporte,si,Expedia,2026-08-05,2026-08-08,3,107100,321300,si,22000,efectivo_ars,B
R-1170,V. Romero,AR,DNI,si,Despegar,2026-07-18,2026-07-23,5,107300,536500,si,22000,tarjeta,B
R-1171,A. Costa,AR,DNI,si,Booking.com,2026-08-05,2026-08-06,1,91500,91500,si,15200,tarjeta,B
R-1172,R. Muller,CO,Pasaporte,si,Telefono/WhatsApp,2026-08-16,2026-08-18,2,102900,205800,si,0,transferencia_exterior,T
R-1173,D. Oliveira,AR,DNI,si,Booking.com,2026-06-12,2026-06-14,2,105400,210800,si,15200,tarjeta,B
R-1174,C. Rossi,US,Pasaporte,si,Telefono/WhatsApp,2026-07-20,2026-07-24,4,98700,394800,si,0,tarjeta,T
R-1175,D. Oliveira,CO,Pasaporte,no,Booking.com,2026-07-22,2026-07-24,2,107300,214600,si,0,efectivo_usd,B
R-1176,L. Fernandez,CO,Pasaporte,no,Booking.com,2026-06-29,2026-07-01,2,86500,173000,si,0,efectivo_ars,B
R-1177,A. Costa,AR,DNI,si,Directo web,2026-07-20,2026-07-21,1,90700,90700,si,22000,efectivo_ars,B
R-1178,G. Ferrari,AR,DNI,si,Despegar,2026-08-08,2026-08-15,7,116100,812700,si,0,tarjeta,B
R-1179,I. Petrov,AR,DNI,si,Booking.com,2026-07-20,2026-07-23,3,101200,303600,si,0,tarjeta,B
R-1180,V. Romero,AR,DNI,si,Despegar,2026-08-04,2026-08-09,5,85700,428500,si,0,tarjeta,B
R-1181,P. Dubois,AR,DNI,si,Telefono/WhatsApp,2026-07-31,2026-08-03,3,108300,324900,si,0,tarjeta,B
R-1182,R. Muller,AR,DNI,si,Booking.com,2026-07-27,2026-07-29,2,86400,172800,si,4500,tarjeta,B
R-1183,A. Costa,AR,DNI,si,Walk-in,2026-08-08,2026-08-11,3,107500,322500,si,0,tarjeta,B
R-1184,E. Blanco,CO,Pasaporte,si,Booking.com,2026-08-25,2026-08-27,2,86200,172400,si,0,transferencia_exterior,T
R-1185,B. Lindqvist,US,Pasaporte,no,Booking.com,2026-07-07,2026-07-08,1,108000,108000,si,0,transferencia_exterior,T
R-1186,S. Johnson,FR,Pasaporte,no,Booking.com,2026-07-10,2026-07-12,2,94000,188000,si,0,tarjeta,A
R-1187,H. Weber,AR,DNI,si,Telefono/WhatsApp,2026-08-17,2026-08-19,2,87700,175400,si,4500,efectivo_ars,B
R-1188,H. Weber,DE,Pasaporte,no,Booking.com,2026-06-17,2026-06-24,7,92000,644000,si,9800,transferencia_exterior,B
R-1189,L. Fernandez,US,Pasaporte,si,Booking.com,2026-06-22,2026-06-24,2,104700,209400,si,22000,tarjeta,B
R-1190,P. Dubois,ES,Pasaporte,si,Booking.com,2026-06-24,2026-06-27,3,107000,321000,si,15200,efectivo_usd,B
R-1191,B. Lindqvist,AR,DNI,si,Booking.com,2026-07-11,2026-07-15,4,99200,396800,si,0,tarjeta,B
R-1192,S. Johnson,AR,DNI,si,Expedia,2026-08-21,2026-08-23,2,96000,192000,si,4500,tarjeta,B
R-1193,O. Ahmed,AR,DNI,si,Directo web,2026-09-07,2026-09-09,2,95000,190000,si,9800,efectivo_ars,B
R-1194,V. Romero,UY,Pasaporte,no,Booking.com,2026-07-29,2026-08-05,7,90100,630700,si,9800,tarjeta,B
R-1195,P. Dubois,AR,DNI,si,Booking.com,2026-07-04,2026-07-05,1,114000,114000,si,0,efectivo_ars,B
R-1196,M. Silva,AR,DNI,si,Booking.com,2026-06-15,2026-06-19,4,95700,382800,si,15200,transferencia_local,B
R-1197,O. Ahmed,CO,Pasaporte,no,Directo web,2026-08-29,2026-08-31,2,102200,204400,si,0,tarjeta,B
R-1198,G. Ferrari,AR,DNI,si,Despegar,2026-06-30,2026-07-04,4,102300,409200,si,9800,tarjeta,B
R-1199,T. Nakamura,AR,DNI,si,Despegar,2026-07-13,2026-07-16,3,104400,313200,si,0,efectivo_ars,B
R-1200,G. Ferrari,AR,DNI,si,Booking.com,2026-08-20,2026-08-25,5,96900,484500,si,9800,tarjeta,B
R-1201,H. Weber,ES,Pasaporte,no,Expedia,2026-08-26,2026-08-28,2,85500,171000,si,9800,tarjeta,A
R-1202,R. Muller,AR,DNI,si,Booking.com,2026-06-17,2026-06-20,3,92600,277800,si,22000,tarjeta,B
R-1203,R. Muller,AR,DNI,si,Booking.com,2026-07-30,2026-08-01,2,99500,199000,si,22000,tarjeta,B
R-1204,N. Garcia,BR,Pasaporte,no,Directo web,2026-07-15,2026-07-17,2,101200,202400,si,0,tarjeta,B
R-1205,B. Lindqvist,UY,Pasaporte,si,Booking.com,2026-07-03,2026-07-05,2,99200,198400,si,9800,tarjeta,B
R-1206,A. Costa,AR,DNI,si,Telefono/WhatsApp,2026-07-26,2026-07-27,1,115700,115700,si,15200,transferencia_local,B
R-1207,I. Petrov,FR,Pasaporte,si,Despegar,2026-06-16,2026-06-18,2,95500,191000,si,22000,efectivo_usd,B
R-1208,K. Novak,AR,DNI,si,Directo web,2026-08-08,2026-08-09,1,99500,99500,si,4500,tarjeta,B
R-1209,A. Costa,AR,DNI,si,Booking.com,2026-07-18,2026-07-19,1,101900,101900,si,0,transferencia_local,B
R-1210,G. Ferrari,UY,Pasaporte,si,Despegar,2026-09-03,2026-09-06,3,91900,275700,si,0,transferencia_exterior,T
R-1211,L. Fernandez,DE,Pasaporte,no,Walk-in,2026-06-24,2026-06-25,1,91500,91500,si,9800,tarjeta,B
R-1212,G. Ferrari,US,Pasaporte,no,Expedia,2026-07-02,2026-07-03,1,98200,98200,si,4500,tarjeta,B
R-1213,O. Ahmed,AR,DNI,si,Despegar,2026-07-17,2026-07-20,3,96100,288300,si,9800,efectivo_ars,A
R-1214,N. Garcia,AR,DNI,si,Booking.com,2026-06-24,2026-06-27,3,103900,311700,si,15200,tarjeta,A
R-1215,K. Novak,AR,DNI,si,Booking.com,2026-07-04,2026-07-07,3,114600,343800,si,0,tarjeta,B
R-1216,S. Johnson,AR,DNI,si,Despegar,2026-08-21,2026-08-22,1,104300,104300,si,0,tarjeta,A
R-1217,S. Johnson,AR,DNI,si,Telefono/WhatsApp,2026-07-05,2026-07-08,3,110000,330000,si,0,transferencia_local,B
