reserva_id,fecha_liquidacion,bin,ultimos_4,marca,importe_ars
R-1425,2026-09-04,451798,3829,MASTERCARD,470800
R-1426,2026-09-02,533012,6151,MASTERCARD,228200
R-1427,2026-07-29,450799,9405,VISA,348000
R-1428,2026-09-11,377874,6325,AMEX,329400
R-1429,2026-08-02,589562,4932,MASTERCARD,87800
R-1430,2026-06-30,589562,5348,VISA,200400
R-1431,2026-08-24,377874,1094,VISA,536000
R-1432,2026-08-14,379141,2851,VISA,405600
R-1434,2026-08-02,438935,6481,MASTERCARD,103100
R-1436,2026-06-28,589562,2180,VISA,202000
R-1438,2026-08-01,450799,6541,AMEX,94700
R-1439,2026-06-26,589562,7079,AMEX,180600
R-1440,2026-06-26,589562,2550,AMEX,287400
R-1441,2026-08-08,589562,4327,AMEX,319500
R-1442,2026-07-20,450799,5155,MASTERCARD,281400
R-1443,2026-06-22,589562,5164,VISA,314400
R-1445,2026-06-17,377874,5212,VISA,99900
R-1447,2026-07-03,450799,6894,MASTERCARD,89200
R-1448,2026-06-30,451798,9085,MASTERCARD,266100
R-1449,2026-08-19,450799,2030,AMEX,320700
R-1450,2026-07-17,521212,3244,MASTERCARD,185000
R-1451,2026-08-11,450799,1792,AMEX,197200
R-1452,2026-07-27,451798,8054,MASTERCARD,791000
R-1453,2026-08-21,377874,3993,AMEX,193200
R-1454,2026-09-11,450799,9118,VISA,181600
R-1455,2026-08-02,589562,3436,VISA,197600
R-1456,2026-08-22,377874,9790,VISA,167400
R-1458,2026-08-19,377874,2725,MASTERCARD,208600
R-1459,2026-06-23,377874,3012,AMEX,108000
R-1460,2026-08-23,451798,7319,AMEX,730100
R-1461,2026-08-16,451798,6318,AMEX,201000
R-1462,2026-07-25,451798,2228,MASTERCARD,267600
R-1463,2026-08-14,451798,4003,AMEX,188000
R-1464,2026-08-13,497010,8732,AMEX,290400
R-1465,2026-09-02,377874,3172,AMEX,601300
R-1466,2026-07-30,451798,3024,MASTERCARD,220800
R-1467,2026-07-19,377874,7564,AMEX,261900
R-1469,2026-08-12,377874,8342,AMEX,100000
R-1470,2026-08-18,451798,4645,AMEX,337200
R-1471,2026-07-21,497010,3684,MASTERCARD,188200
R-1472,2026-09-06,451798,7525,VISA,420800
R-1474,2026-08-06,450799,4203,AMEX,211600
R-1475,2026-08-06,589562,1954,AMEX,414800
R-1476,2026-07-11,589562,9639,VISA,106900
R-1477,2026-08-19,589562,8112,AMEX,336600
R-1478,2026-07-15,377874,3171,AMEX,108800
R-1480,2026-09-10,589562,3629,VISA,428400
R-1481,2026-08-17,451798,6426,VISA,253800
R-1482,2026-08-28,438935,9734,AMEX,167800
R-1483,2026-07-16,377874,6536,MASTERCARD,99700
R-1485,2026-08-16,377874,9417,MASTERCARD,530000
R-1487,2026-07-31,450799,3312,AMEX,101800
R-1488,2026-08-31,589562,1926,MASTERCARD,254100
R-1489,2026-08-17,589562,1273,MASTERCARD,507500
R-1490,2026-08-27,450799,3249,AMEX,199400
R-1491,2026-07-22,450799,6206,VISA,381200
R-1492,2026-08-17,438935,7004,AMEX,261900
R-1496,2026-08-18,377874,8612,VISA,111000
R-1499,2026-08-19,589562,5253,MASTERCARD,344400
R-1500,2026-08-01,451798,2570,AMEX,85300
R-1502,2026-09-03,589562,2097,VISA,470000
R-1504,2026-09-02,377874,5964,AMEX,188000
R-1506,2026-07-13,547034,1421,VISA,176800
R-1508,2026-08-17,516292,4554,MASTERCARD,349600
R-1509,2026-08-02,589562,3169,AMEX,94200
R-1511,2026-07-15,513412,1178,MASTERCARD,320100
R-1516,2026-07-24,589562,8057,AMEX,171200
R-1517,2026-07-08,450799,2858,AMEX,106300
R-1518,2026-07-03,377874,7727,MASTERCARD,428400
R-1519,2026-07-06,450799,2847,VISA,266100
R-1521,2026-08-18,377874,6519,AMEX,458500
R-1522,2026-09-02,589562,4297,AMEX,235200
R-1525,2026-07-21,377874,1859,VISA,317700
R-1526,2026-06-24,450799,9535,VISA,349600
R-1527,2026-08-16,545612,8209,MASTERCARD,106200
R-1532,2026-07-18,377874,3833,VISA,260700
R-1533,2026-09-06,451798,2628,VISA,400400
R-1534,2026-08-30,589562,4705,MASTERCARD,351200
R-1535,2026-09-04,377874,9212,VISA,613900
R-1536,2026-08-09,451798,3881,AMEX,181000
R-1538,2026-07-06,377874,7323,MASTERCARD,355200
R-1539,2026-07-01,451798,8209,MASTERCARD,219400
R-1541,2026-08-29,589562,7507,VISA,294300
R-1542,2026-07-24,450799,3333,MASTERCARD,207600
R-1543,2026-07-15,377874,6676,MASTERCARD,693000
R-1544,2026-06-17,589562,1106,VISA,201200
R-1546,2026-09-12,456712,7954,VISA,535000
R-1550,2026-09-08,516292,9852,MASTERCARD,294600
R-1551,2026-08-04,530312,8652,MASTERCARD,382400
R-1552,2026-08-25,513412,7883,VISA,777000
R-1555,2026-08-07,540012,2847,MASTERCARD,195400
R-1556,2026-07-28,451798,2061,VISA,286500
R-1557,2026-08-20,451798,8520,MASTERCARD,233600
R-1558,2026-06-14,492181,2032,AMEX,86300
R-1560,2026-08-11,589562,7368,MASTERCARD,208000
R-1561,2026-07-21,589562,1310,AMEX,258300
R-1563,2026-09-11,450799,6328,MASTERCARD,171200
R-1564,2026-08-09,450799,8358,MASTERCARD,84200
R-1565,2026-06-17,450799,1478,AMEX,279600
R-1567,2026-06-26,377874,5235,MASTERCARD,168200
R-1568,2026-08-31,438935,4426,MASTERCARD,257700
R-1569,2026-09-06,521212,3152,MASTERCARD,252300
R-1570,2026-08-19,516292,1052,VISA,422000
R-1572,2026-08-20,589562,9842,MASTERCARD,639800
R-1574,2026-08-25,516292,2272,MASTERCARD,202400
R-1575,2026-08-01,377874,4787,VISA,215000
R-1576,2026-07-02,451798,1856,MASTERCARD,102300
R-1580,2026-08-03,451798,9241,AMEX,115600
R-1581,2026-06-14,451798,1420,MASTERCARD,89300
R-1582,2026-08-31,589562,3514,AMEX,113800
R-1584,2026-07-16,450799,2415,MASTERCARD,220800
R-1586,2026-06-20,438935,9489,VISA,269100
R-1587,2026-08-04,438935,8200,MASTERCARD,363200
R-1590,2026-07-03,377874,7695,MASTERCARD,197000
R-1595,2026-07-15,530312,1957,MASTERCARD,284400
R-1596,2026-08-08,589562,7759,VISA,88000
R-1597,2026-07-24,540012,2994,VISA,550500
R-1598,2026-07-21,492181,7340,MASTERCARD,104200
R-1599,2026-07-26,377874,1027,MASTERCARD,287100
R-1600,2026-08-04,455708,6249,MASTERCARD,192600
R-1601,2026-07-03,377874,2365,AMEX,383600
R-1602,2026-08-31,589562,2851,MASTERCARD,191800
R-1603,2026-09-08,450799,1566,VISA,319500
R-1604,2026-08-25,451798,6563,VISA,99600
R-1605,2026-08-13,589562,2042,MASTERCARD,102400
R-1607,2026-06-22,497010,9056,MASTERCARD,350400
R-1608,2026-07-06,451798,5158,MASTERCARD,113600
R-1609,2026-07-30,589562,7038,AMEX,219000
R-1611,2026-07-26,533012,1693,MASTERCARD,197200
R-1612,2026-08-05,589562,6252,VISA,100100
R-1613,2026-07-11,451798,7394,MASTERCARD,555500
R-1614,2026-08-24,377874,4628,AMEX,536000
R-1616,2026-07-09,377874,6273,MASTERCARD,440800
R-1619,2026-08-27,377874,8120,AMEX,334200
R-1621,2026-08-01,451798,2634,AMEX,285900
R-1625,2026-07-14,438935,1995,AMEX,214200
R-1626,2026-08-16,589562,4161,VISA,420400
R-1627,2026-09-01,377874,3203,MASTERCARD,98100
R-1628,2026-06-24,471589,1213,AMEX,293700
R-1631,2026-08-13,491667,3200,AMEX,99800
R-1632,2026-07-26,450799,9492,VISA,199000
R-1633,2026-08-02,589562,2438,MASTERCARD,517000
R-1635,2026-07-01,450799,6185,AMEX,102900
R-1636,2026-09-02,377874,9686,VISA,343600
R-1638,2026-06-22,451798,5319,AMEX,106700
R-1639,2026-08-18,589562,5060,VISA,395200
R-1640,2026-07-13,589562,3543,MASTERCARD,192000
R-1641,2026-07-13,450799,4100,AMEX,280500
R-1642,2026-07-05,451798,4826,VISA,88500
R-1645,2026-07-15,491667,2997,MASTERCARD,230400
R-1647,2026-08-20,547034,5848,MASTERCARD,188200
R-1648,2026-08-03,552031,5505,AMEX,288600
R-1650,2026-06-20,450799,1774,AMEX,92500
R-1653,2026-08-13,455708,7961,VISA,215600
R-1654,2026-07-30,530312,1959,AMEX,203600
R-1657,2026-08-31,589562,8322,MASTERCARD,311400
R-1660,2026-07-28,540012,8172,MASTERCARD,311100
R-1661,2026-09-02,451798,4433,MASTERCARD,212600
R-1662,2026-07-28,451798,7018,AMEX,213000
R-1664,2026-07-08,450799,8075,AMEX,101900
R-1665,2026-08-27,450799,6493,MASTERCARD,330900
R-1666,2026-08-29,513412,8080,AMEX,207800
R-1667,2026-08-20,589562,1720,VISA,279600
R-1670,2026-06-15,377874,1178,MASTERCARD,113000
R-1672,2026-06-19,456712,1318,MASTERCARD,332100
R-1673,2026-07-21,377874,3798,AMEX,105100
R-1674,2026-07-27,450799,4873,AMEX,176000
R-1675,2026-09-07,377874,4538,MASTERCARD,187200
R-1677,2026-09-07,589562,5714,AMEX,211800
R-1678,2026-07-02,516292,5529,MASTERCARD,91800
R-1679,2026-07-31,451798,9585,VISA,303600
R-1681,2026-08-28,451798,9579,MASTERCARD,180000
R-1683,2026-06-23,451798,9037,AMEX,196400
R-1684,2026-09-01,450799,8161,MASTERCARD,114100
R-1685,2026-07-07,450799,3946,VISA,94900
R-1686,2026-08-06,450799,2857,AMEX,85100
R-1687,2026-06-14,589562,4719,AMEX,96600
R-1688,2026-08-17,377874,9913,VISA,514000
R-1689,2026-06-17,589562,9910,VISA,229000
R-1690,2026-06-20,589562,7429,MASTERCARD,184800
R-1691,2026-08-25,451798,1675,AMEX,108000
R-1694,2026-06-27,451798,8307,VISA,93800
R-1695,2026-08-17,516292,7102,MASTERCARD,479000
R-1696,2026-07-06,450799,4496,AMEX,382800
R-1697,2026-08-02,451798,5461,VISA,177800
R-1698,2026-09-09,450799,9184,MASTERCARD,507500
R-1701,2026-07-17,542418,3369,AMEX,314100
R-1703,2026-08-17,438935,2206,AMEX,202000
R-1704,2026-07-23,492181,1931,AMEX,224400
R-1705,2026-07-31,589562,2613,AMEX,209600
R-1706,2026-08-24,451798,5444,AMEX,172600
R-1707,2026-08-30,513412,2733,VISA,565500
R-1708,2026-06-17,516292,4925,AMEX,202200
R-1709,2026-07-24,497010,9037,AMEX,551000
R-1710,2026-06-17,450799,3870,MASTERCARD,310800
R-1713,2026-08-31,471589,9522,MASTERCARD,274500
R-1714,2026-07-23,454181,8382,MASTERCARD,292500
R-1715,2026-09-03,377874,7476,MASTERCARD,679700
R-1716,2026-06-29,450799,9762,MASTERCARD,322500
R-1717,2026-07-08,450799,5822,AMEX,107400
R-1719,2026-08-24,450799,2128,MASTERCARD,540000
R-1720,2026-07-30,450799,2041,VISA,407600
R-1721,2026-09-12,589562,3843,AMEX,378800
R-1722,2026-07-07,450799,2557,MASTERCARD,200600
R-1725,2026-07-04,377874,4815,MASTERCARD,433200
R-1726,2026-07-02,377874,3639,VISA,352500
R-1728,2026-08-06,451798,6827,MASTERCARD,230000
R-1730,2026-08-10,438935,3894,VISA,211400
R-1731,2026-08-27,451798,9512,AMEX,220200
R-1733,2026-07-22,451798,3622,MASTERCARD,105200
R-1736,2026-08-11,450799,4111,VISA,422000
R-1737,2026-07-14,521212,8338,AMEX,232600
R-1738,2026-08-27,451798,7073,AMEX,322800
R-1742,2026-08-01,414720,3621,VISA,207400
R-1743,2026-06-14,589562,2319,AMEX,85400
R-1744,2026-07-27,451798,3793,MASTERCARD,410000
R-1745,2026-08-26,516292,9678,AMEX,289800
R-1746,2026-07-09,377874,9052,AMEX,502000
R-1748,2026-08-13,542418,6720,MASTERCARD,226600
R-1749,2026-07-27,377874,5908,MASTERCARD,181800
R-1750,2026-08-20,589562,5313,VISA,208800
R-1752,2026-06-25,450799,1221,MASTERCARD,648200
R-1753,2026-08-25,589562,4810,MASTERCARD,106500
R-1754,2026-09-08,589562,6167,AMEX,212000
R-1755,2026-07-19,450799,4740,AMEX,747600
R-1756,2026-09-05,377874,9870,AMEX,254100
R-1757,2026-07-26,589562,1803,AMEX,314100
R-1758,2026-08-19,589562,1258,AMEX,221400
R-1760,2026-07-26,589562,5230,VISA,107100
R-1761,2026-07-19,379141,5099,MASTERCARD,798000
R-1762,2026-08-28,545612,6232,AMEX,334800
R-1763,2026-07-12,451798,3671,VISA,290100
R-1764,2026-08-14,450799,7774,MASTERCARD,283800
R-1765,2026-06-25,589562,4912,MASTERCARD,297900
R-1766,2026-07-27,450799,1055,AMEX,390800
R-1767,2026-08-23,542418,2364,MASTERCARD,816900
R-1768,2026-09-03,379141,7902,AMEX,193400
R-1770,2026-07-15,377874,3354,VISA,207000
R-1771,2026-09-05,589562,3618,AMEX,105000
R-1772,2026-06-29,451798,4318,MASTERCARD,178200
R-1775,2026-07-17,377874,2872,AMEX,579500
R-1776,2026-07-12,589562,4789,AMEX,510000
R-1778,2026-06-27,450799,9248,MASTERCARD,667800
R-1781,2026-06-21,547034,9047,VISA,263400
R-1782,2026-07-12,377874,8263,MASTERCARD,187400
R-1783,2026-07-24,552031,4429,MASTERCARD,434000
R-1785,2026-07-15,379141,5429,MASTERCARD,377200
R-1787,2026-09-08,552031,1848,VISA,211600
R-1790,2026-06-17,377874,3985,AMEX,220200
